Year,Cars,Light Commercial,Heavy Goods,Motorcycles,Buses
1949,12.6,4,7.8,1.9,2.5
1950,15.9,4.8,7,2.7,2.5
1951,18.2,5.1,7.3,3.5,2.6
1952,19,5.4,7,3.7,2.6
1953,20.8,5.7,7.1,4.2,2.6
1954,23.1,5.8,7.6,4.3,2.6
1955,26.3,6.1,8.2,4.7,2.6
1956,28.7,6.2,8.1,4.6,2.6
1957,28.1,6.4,7.8,5.2,2.5
1958,34.4,7.4,8.4,5.2,2.4
1959,38.6,8.5,9.1,6.1,2.5
1960,42.3,9.3,9.5,6.2,2.4
1961,47.8,10.2,9.6,6,2.5
1962,52,10.3,9.6,5.4,2.5
1963,56.8,10.9,9.8,4.7,2.5
1964,65.7,11,10.8,4.7,2.5
1965,72,11.8,10.7,4.2,2.4
1966,78.6,11.8,10.9,3.7,2.4
1967,83.9,11.6,10.7,3.2,2.4
1968,88.7,11.7,10.9,2.9,2.4
1969,91.9,12,10.8,2.6,2.4
1970,96.3,12.6,10.9,2.5,2.2
1971,102.6,13.2,11.2,2.4,2.2
1972,108.6,13.8,11.4,2.3,2.2
1973,114.3,14.5,12,2.4,2.2
1974,111.8,14.7,11.6,2.6,2.1
1975,112.8,14.6,11.4,3.2,2
1976,118.3,15,11.9,3.9,2.1
1977,120.6,15.2,11.7,3.9,2
1978,125.8,15.7,12.1,3.8,2.1
1979,125.2,15.6,12.2,4,2.1
1980,133.6,16.2,12.2,4.8,2.2
1981,136.4,16.3,11.7,5.5,2.2
1982,141.2,16.2,11.4,5.7,2.2
1983,143.7,16.2,11.7,5.2,2.3
1984,151.6,17.1,12.2,5,2.4
1985,155.7,17.8,12.2,4.6,2.3
1986,164.3,18.6,12.5,4.4,2.3
1987,176.8,20.3,13.9,4.2,2.5
1988,189.8,22.5,14.8,3.7,2.7
1989,205.9,24.7,15.8,3.7,2.8
1990,208.7,24.8,15.5,3.5,2.9
1991,208.3,25.9,15.2,3.4,3
1992,210,25.6,14.8,2.8,2.9
1993,210.1,25.8,15.1,2.3,2.9
1994,214.4,26.9,15.4,2.3,2.9
1995,218.2,27.7,15.8,2.3,3
1996,223.6,28.7,16.3,2.3,3.1
1997,227.3,30.2,16.7,2.5,3.2
1998,230.3,31.6,17.2,2.6,3.3
1999,234.5,32.1,17.5,2.8,3.3
2000,233.7,32.4,17.5,2.8,3.2
2001,236.9,33.2,17.4,3,3.2
2002,242.7,34,17.6,3.1,3.2
2003,242.3,35.7,17.7,3.4,3.3
2004,245,37.4,18.2,3.2,3.2
2005,244,38.4,18,3.3,3.2
2006,246.9,39.9,18,3.2,3.3
2007,247.3,41.9,18.2,3.4,3.4
2008,245.4,41.6,17.8,3.1,3.1
2009,244.8,40.7,16.3,3.2,3.1
2010,239.8,41,16.4,2.9,3.1
2011,240.7,41.4,15.9,2.9,2.9
2012,240.3,41.3,15.5,2.8,2.7
2013,240,42.6,15.7,2.7,2.8
2014,245,45,16.1,2.8,2.8
2015,247.7,46.9,16.7,2.8,2.7
2016,251.6,49.2,16.8,2.8,2.5
2017,254.4,50.5,17,2.8,2.4
2018,255,51,17.1,2.7,2.3
